
SET LINE 55
SET PAGES 30000
COLUMN RTN_NET FORMAT 99,99,999.99

COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE SUM OF RTN_NET ON REPORT
COMPUTE MAX OF RTN_NET ON FL_MVH
COMPUTE COUNT OF RTN_NO ON FL_MVH
BREAK ON REPORT ON FL_MVH


TTITLE center 'Depot:'&&SC_CD', Return Bill' SKIP2

SPOOL ON

SELECT SC_CD, FL_MVH, FP_ID, BILL_NO, RTN_NO, RTN_DT,RSN_NO, SALE_CD, RTN_NET 
	FROM SCENT.RTN_MAS 
	WHERE SC_CD='&&SC_CD' 
	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
	AND CANCL IS NULL 
	ORDER BY FL_MVH, RTN_NO
/

 
SPOOL OFF

ED ON.LST

===============================


old   3: 	WHERE SC_CD='&&SC_CD'
new   3: 	WHERE SC_CD='11'
Enter value for date1: 01JAN25
Enter value for date2: 31JAN25
old   4: 	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
new   4: 	AND RTN_DT BETWEEN '01JAN25' AND '31JAN25'

                 Depot:11, Return Bill                 
                                                       
SC F FP_ID BILL_NO RTN_NO RTN_DT    R SA       RTN_NET 
-- - ----- ------- ------ --------- - -- ------------- 
11 1 26879 1520193 278047 03-JAN-25 4 WM      7,960.22 
11   26648 1522577 278230 11-JAN-25 $ WO        441.16 
11   05X32 1521754 278231 11-JAN-25 4 WM        686.00 
11   05X38 1521754 278232 11-JAN-25 4 WM        343.00 
11   21015 1522727 278233 11-JAN-25 4 WM        360.14 
11   21738 1522719 278234 11-JAN-25 7 WM        771.76 
11   05X38 1521942 278235 11-JAN-25 4 WM        905.10 
11   02Q68 1522702 278236 11-JAN-25 4 WM      3,156.05 
11   20844 1522669 278237 11-JAN-25 $ WO      2,024.10 
11   05X32 1522772 278238 11-JAN-25 $ WM      5,159.60 
11   05X38 1522772 278239 11-JAN-25 $ WM      1,029.01 
11   21666 1520002 278247 12-JAN-25 7 WM        905.10 
11   02YS8 1522860 278248 12-JAN-25 $ WM      4,400.40 
11   22116 1521557 278249 12-JAN-25 7 WM        258.64 
11   20793 1521104 278250 12-JAN-25 7 WM      2,144.46 
11   21906 1521104 278251 12-JAN-25 7 WM      2,773.81 
11   21646 1521832 278252 12-JAN-25 1 WM        125.43 
11   02YS8 1521745 278253 12-JAN-25 7 WM      2,909.35 
11   20542 1522994 278254 12-JAN-25 7 WM        627.10 
11   21720 1522989 278255 12-JAN-25 4 WM        618.00 
11   05S49 1522804 278256 12-JAN-25 $ WM      3,162.43 
11   02455 1519046 278257 12-JAN-25 4 WM        343.00 
11   21678 1522997 278258 12-JAN-25 4 WM        235.82 
11   05S49 1522840 278259 12-JAN-25 $ WM      3,826.67 
11   02YS8 1520723 278260 12-JAN-25 A WM         42.88 
11   20793 1522807 278261 12-JAN-25 $ WM        276.80 
11   21906 1522807 278262 12-JAN-25 $ WM      4,537.17 
11   20793 1522766 278263 12-JAN-25 $ WO        692.20 
11   21906 1522766 278264 12-JAN-25 $ WO        856.36 
11   21906 1521106 278265 12-JAN-25 4 WM        360.15 
11   21906 1521029 278266 12-JAN-25 4 WM      1,254.20 
11   21906 1521107 278267 12-JAN-25 7 WM        591.68 
11   21906 1521857 278268 12-JAN-25 4 RC        261.75 
11   20793 1520553 278269 12-JAN-25 7 WM        381.61 
11   20793 1522808 278270 12-JAN-25 $ WM        972.79 
11   21906 1522808 278271 12-JAN-25 $ WM      3,081.24 
11   05S49 1520600 278272 12-JAN-25 4 WM      2,572.59 
11   20793 1521922 278273 12-JAN-25 7 WM        501.68 
11   21906 1521922 278274 12-JAN-25 7 WM      2,647.74 
11   20793 1521204 278275 12-JAN-25 7 WM      1,033.20 
11   21906 1521204 278276 12-JAN-25 7 WM      4,724.57 
11   02YS8 1521744 278277 12-JAN-25 7 WO      2,277.95 
11   21738 1523034 278278 12-JAN-25 4 RC        567.15 
11   21467 1522855 278279 12-JAN-25 4 WM      3,150.80 
11   21467 1521910 278280 12-JAN-25 7 WM      5,402.28 
11   26687 1522901 278281 12-JAN-25 $ WM      8,417.23 
