

SET LINE 100
SET PAGES 20000
COLUMN VALUE FORMAT 99,99,999.99


COMPUTE SUM OF VALUE ON DIV_CD
COMPUTE SUM OF VALUE ON REPORT
BREAK ON REPORT ON DIV_CD

---COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE COUNT OF RTN_NO ON FL_MVH



TTITLE center 'Depot:'&&SC_CD', RECV_SUB Voucher of Date Expired Medicine' SKIP2



SPOOL ON

SELECT DISTINCT LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY,SUM(T_VAT*RV_QTY) VALUE
	FROM INV.RECV_SUB WHERE RV_DT BETWEEN '&DATE1' AND '&DATE2' 
	AND LOC_CD='&&SC_CD' 
	AND DIV_CD IN('1','2')
	AND RV_TYP='47' 
	---AND EXP_DT<='01AUG2022'
	GROUP BY LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY
	ORDER BY DIV_CD,EXP_DT,CAT_CD||PRD_CD

/

 
SPOOL OFF

ED ON.LST


==============================================================================


Date: 01-31 Dec'24

                         Depot:15, Receive Voucher of Date Expired Medicine                         
                                                                                                    
LO D FP_ID RV_NO   SUB_NO RV_DT     RV CAT_CD MFG_DT    EXP_DT    B_NO         RV_QTY         VALUE 
-- - ----- ------- ------ --------- -- ------ --------- --------- -------- ---------- ------------- 
15 1 27309 0005208 003920 15-DEC-24 47 051021 01-SEP-16 30-AUG-18 A0216003         .5         86.40 
15   21548 0005208 003751 15-DEC-24 47 081133 01-JAN-20 30-DEC-21 T1330032          3        951.30 
15   27932 0005208 003736 15-DEC-24 47 081135 01-JAN-19 30-DEC-21 T1358001         .2         70.40 
15   22331 0005208 003792 15-DEC-24 47 081151 01-JAN-19 30-DEC-21 T1518001         .1         15.50 
15   22128 0005208 003861 15-DEC-24 47 081185 01-JAN-19 30-DEC-21 T1859017          1        123.00 
15   22331 0005208 003792 15-DEC-24 47 261064 01-JAN-20 30-DEC-21 L0341053          1         60.34 
15   27954 0005208 003816 15-DEC-24 47 011053 01-DEC-19 31-DEC-21 C0539023        .33        160.78 
15   27954 0005208 003810 15-DEC-24 47 071018 01-DEC-19 31-DEC-21 O0189021          1         30.90 
15   27954 0005208 003854 15-DEC-24 47 081014 01-DEC-18 31-DEC-21 T0148051          1        149.00 
15   21513 0005208 003799 15-DEC-24 47 081185 01-DEC-19 31-DEC-21 T1859045         .5         61.50 
15   05J77 0005208 003765 15-DEC-24 47 021011 01-FEB-20 30-JAN-22 E0110002          2         79.44 
15   07355 0005208 003912 15-DEC-24 47 031016 01-FEB-20 30-JAN-22 P0160002          1         74.58 
15   07355 0005208 003912 15-DEC-24 47 031016 01-FEB-20 30-JAN-22 P0162002          4        298.32 
15   22128 0005208 003897 15-DEC-24 47 061003 01-FEB-20 30-JAN-22 L0030001          2         35.20 
15   28292 0005208 003915 15-DEC-24 47 061020 01-FEB-20 30-JAN-22 L0200003          1         19.42 
15   28292 0005208 003915 15-DEC-24 47 061059 01-FEB-20 30-JAN-22 L0590003          1         83.86 
